content_id,post_type,var_1,var_2,var_3,var_4,status,use_count,last_posted
c001,mito_realidad,Necesitas 20% de enganche para comprar casa,Hay programas con 0-3% de enganche para primeros compradores,,,ready,0,
c002,mito_realidad,Solo puedes comprar si tienes credito perfecto,Hay prestamos FHA que aceptan credito desde 580,,,ready,0,
c003,mito_realidad,El proceso de comprar casa toma meses y meses,Con pre-aprobacion puedes cerrar en 30-45 dias,,,ready,0,
c004,mito_realidad,Rentar es tirar el dinero,Rentar tiene sentido en ciertas situaciones financieras,,,ready,0,
c005,paso_a_paso,Como comprar tu primera casa en Texas,Revisa tu credito y ahorra para gastos,Consigue pre-aprobacion hipotecaria,Busca casa con agente y haz oferta,ready,0,
c006,paso_a_paso,Pasos para mejorar tu credito,Paga tus tarjetas a tiempo cada mes,Manten el uso de credito bajo 30%,Revisa tu reporte de credito gratis,ready,0,
c007,paso_a_paso,Que hacer antes de buscar casa,Calcula cuanto puedes pagar mensualmente,Junta documentos de ingreso y empleo,Habla con un lender para pre-aprobacion,ready,0,
c008,paso_a_paso,Como prepararte para la inspeccion,Entiende que busca el inspector,Acompana al inspector si puedes,Negocia reparaciones importantes,ready,0,
c009,tip_rapido,Revisa tu credito 6 meses antes de buscar casa para tener tiempo de mejorarlo,,,,ready,0,
c010,tip_rapido,Consigue pre-aprobacion antes de ver casas para saber exactamente cuanto puedes gastar,,,,ready,0,
c011,tip_rapido,No hagas compras grandes ni abras creditos nuevos mientras buscas casa,,,,ready,0,
c012,tip_rapido,Guarda todos tus recibos de pago y estados de cuenta de los ultimos 2 meses,,,,ready,0,
c013,historia_real,Una familia que penso que nunca calificaria pero logro comprar su primera casa con ayuda del programa de primeros compradores,,,,ready,0,
c014,historia_real,Un joven profesional que mejoro su credito en 6 meses y ahora es dueno de su primer departamento en Austin,,,,ready,0,
